user,distance,story
d203d9ca-ba55-4ea8-8830-725ebea48e6c,0,malawi
fa348914-951d-4f48-9fce-1e95e1770d82,0,malawi
34154606-a99e-4d61-bb8f-ebdddf90e415,0,malawi
abe780ce-4d87-40b9-9a85-c33bd7790251,0,malawi
a3219b1e-04c7-461c-b41a-f6b4fc827319,4,malawi
a982a48f-6411-4a4d-9b30-fd324ff59938,0,malawi
eb002983-8469-46b7-9bcf-ad6bebb46be6,4,malawi
4c6fc231-4c4c-405e-9c41-d1710a1ba376,0,malawi
db01ffc8-3a6c-4422-81cb-3ad3344bfada,0,malawi
b0d29ef7-d355-4e2d-86f9-97c395b63571,4,malawi
f4a3f5ce-480d-4a4d-bd07-f2da31d9fe21,3,malawi
9fd57bb8-a31e-465a-8692-50059d6e37e4,3,malawi
32783363-d205-4071-9cd5-3ea1cad73094,3,malawi
33d27fee-8dcc-40f1-98a5-7f562c8f6504,0,malawi
bdc63a54-5fbc-410a-b247-312a544d5dae,0,malawi
b71ee05d-6e78-4564-87ee-8d676c8d9032,4,malawi
0f714641-fadd-4a09-90c0-29a02608d4c2,0,malawi
96ee3c04-077c-4e3f-9da1-7f3ea2d8d118,0,malawi
24f5ef1c-1393-4853-98c6-e2f04e0e35cd,3,malawi
3e1059ee-68aa-420b-a6c2-84e6de72b6dc,4,malawi
95cfe4e6-bcf5-4e4a-9f8f-baf8db69f2a5,4,malawi
e27889b9-bff0-446f-b9bf-7760a88bb480,0,malawi
8c5c7047-793d-42ea-b51b-7758efaef7e6,4,malawi
e54d9775-89d1-40cb-af36-4e1cd44ddf10,1,malawi
c8cb7965-2c03-41c5-9d0e-3f467236593d,0,malawi
36dbe812-d4de-4a27-a99e-e1a0d4f24f62,2,malawi
40e6f83b-386c-4a36-abbb-0b0e1d572195,4,malawi
6ee71b06-6c83-46cc-8611-07bda786539b,3,malawi
ed1597b1-d6c1-4b10-8a1f-0e451c23cf32,0,malawi
b710d6ad-afd9-4029-a373-a1cb7ee52f2c,0,malawi
4f4af9b7-4586-4a72-a4b5-f40f44465284,3,malawi
a77f8ac0-a7c9-4f5e-8acb-e1870eb0dab9,0,malawi
2d713c67-b4b4-4458-98f4-ca82810a1e5c,0,malawi
f887a24f-7239-4d50-ac09-a629cd339f0a,4,malawi
01d77865-fa4c-4c1a-985c-aef9a3421e07,2,malawi
3443441c-1ab5-42e3-a6a4-7260818003f3,0,malawi
b07cfbab-dcc5-46f5-b7b8-d6028c2e48ec,0,malawi
b7fa7823-1d6c-44ef-a9d2-cd8b0547b309,0,malawi
5fdc751f-a4b6-4a86-8513-371dcd8f6671,0,malawi
e0e95602-eb4a-4862-909a-50ea979f26ce,4,malawi
81cc9174-8f4b-4b1f-a692-cb32745d5a66,4,malawi
9ae3ce57-2d0e-4d97-b3c4-adf97fc0a49f,0,malawi
ee8ffbd9-d98d-4eb8-841b-3c05d16c5cb8,0,malawi
420d938f-c501-4537-88d3-214f2309e6bb,0,malawi
f17db9de-9c51-4d2d-bae8-1e6cbfc5ddc0,0,malawi
8003ec01-e23e-4277-82af-be517e649b01,0,malawi
bda0e0ee-6c45-470e-93f2-99cff4c198ed,0,malawi
422d8301-0da4-4e6d-a665-165aa67537de,2,malawi
1bdfbd17-37ec-4989-8abe-4be5642d6759,0,malawi
41328283-3012-4e71-80a4-f754b5f085a6,0,malawi
aabd9402-0fbf-4a97-b4da-ef1a93d307a2,3,malawi
b58b1235-8ffa-4386-8e4d-eb42e18c763f,4,malawi
95225030-f1b4-4fcf-805e-52a664de3a76,3,malawi
c4999855-6968-40f7-9cb4-e77d51ec2d0a,1,malawi
0507ee54-8344-4b1b-b9d7-99e1167e2dda,4,malawi
1693e95b-ce0a-4ed6-815b-2f4fb0de22e8,2,malawi
f7c798be-1ba5-4d0e-85d4-134ee983def9,3,malawi
bd48127f-02ef-4c10-acca-53aed455b262,4,malawi
80244ae7-7ed7-490d-acf2-7c089a16f6e6,3,malawi
1731854b-650a-4823-8e70-2ab152a071d3,0,malawi
2cede70d-aef5-4a95-94c9-33609ccb7af1,3,malawi
251def34-6432-4327-9e05-b50e45d0790a,0,malawi
8747c123-8794-42c3-b092-dcca24eb605d,2,malawi
adcb0864-55cf-453b-b8e7-709e6e2b502d,0,malawi
8ffec815-c72b-4b88-8a59-1857f155287c,3,malawi
d7d6286a-8177-4b04-9447-33a405552511,0,malawi
a6df6498-913d-4fcf-8534-6afb29b2c132,0,malawi
058231a5-898b-46a5-8889-d90b0f5db836,0,malawi
1fc7e720-0362-4199-ab42-900aff245d90,0,malawi
e287e2cb-4a53-4011-aeba-e0cdb1cf1254,0,malawi
bcab5632-d97d-4a3b-b0ba-2be88c89355b,0,malawi
2ce23289-a6bb-42a6-bfec-95b440eb09bb,0,malawi
968f4adc-146f-4a28-bf20-c04462d100b8,0,malawi
e4e025bc-145e-4bd6-ba01-887761466dc9,4,malawi
c9a18c05-d79f-47f3-8cca-f08b2987616f,0,malawi
8e830c2d-5ee6-4abc-b727-b7004b1885d7,2,malawi
7b430fcb-0674-4a8d-bec3-61081d2cfc84,0,malawi
93d998ac-45bc-4059-b799-ddf0cf03068c,4,malawi
43886d55-5c72-49d8-b8f1-b7a14d6c7908,1,malawi
73d0a028-a006-4a2c-b304-a4ebea91eb39,0,malawi
53aa8f61-7adc-4069-993c-2915462d0359,0,malawi
194b27d2-17c6-4cc4-8719-0243e279bc8e,0,malawi
db5b3a7e-5457-4921-a4ef-69886202025e,0,malawi
3ccec8ee-40c2-401b-879f-b8b1a0dc2b95,0,malawi
466036da-532d-4b2f-9ed4-081144e6aede,4,malawi
9ba2cfc2-e547-43c3-a1a1-0db4477f7b67,4,malawi
9a9de676-d540-4c2a-9e1b-8315dbf23875,1,malawi
33211030-a48a-4ae6-908a-165c54f0b8bc,0,malawi
78003283-c40f-4b26-9958-7d3f47acb34d,0,malawi
a4a3e6e4-0cca-44d7-aa3b-12988719679c,2,malawi
0f6489de-8b4e-461e-9712-828fce95cc6b,1,malawi
0964c1ac-263e-47c6-8e65-7cdb72d4b4a8,4,malawi
14414afc-2d34-421c-bc1e-9eade6b33b79,0,malawi
c3a926c2-a1ca-4759-bdcb-dfe9477d3629,0,malawi
507d5579-dd09-4655-937d-aff74d3f2b89,4,malawi
846410f4-a070-4381-aa12-0e32c4a12639,0,malawi
d06f5ff3-8754-4df8-97ca-dff70b23d042,3,malawi
3423178f-eaa5-48dc-b740-940fc938affd,0,malawi
31e9fc2b-e9aa-4fca-92e5-c34b9b8ff3f1,0,malawi
0e385ab6-9b74-443c-881e-f75b19369a3f,4,malawi
2995212e-06a2-49b2-b527-256f280b223c,0,malawi
b5ce654d-b4be-4896-b242-e05e2f6ce472,0,malawi
de2c9752-c6e8-4936-877e-4ffb50f58d78,0,malawi
af07e1b7-625b-4d42-b9c3-56da65f63c66,4,malawi
3b2ea7e9-3724-4e05-a8d8-84566ecbd36a,4,malawi
0161ba65-17db-44c8-a0de-f71c1255c0ec,0,malawi
968fc4c6-ff2e-48c1-aa9b-ceb147844d20,0,malawi
f327b440-5a63-4b67-abd2-d7f462176235,0,malawi
4341db6b-74a3-4860-9079-9bfdb001d127,0,malawi
b5157447-d535-4358-b962-d11a81829895,1,malawi
55be4f85-274d-4b3f-b7f9-d862faaa6501,0,malawi
58ae9d1e-fde9-4867-b32c-9706f135d6d0,0,malawi
1b104ae0-6b73-4bec-a787-768ce94d6763,1,malawi
876ff69c-d7eb-4d5e-aeb8-da93a6795ad8,2,malawi
