user,pre_avg_nec_time,pre_norm_avg_nec_time,pre_std_nec_time,pre_norm_std_nec_time,pre_link_choice_clicked,pre_narrative_element_change,pre_link_choice_ratio
1ff6f9f4-ce29-40fc-9b8f-d90603082453,55.26,0.743,13.02,0.389,6,6,1.0
9e39dc17-0b8f-42ba-ad2c-244e8a3fbb5b,62.511,0.779,16.733,0.397,6,6,1.0
3a431c7a-46d8-4028-8312-5e6e2f08042c,54.103,0.769,15.627,0.401,6,6,1.0
2390ff34-d06e-4c75-a5ba-786bce9cdb47,63.076,0.766,14.78,0.39,5,6,0.833
57d01b71-63b6-4b25-a75d-bef55c388c0c,62.297,0.752,16.178,0.392,8,6,1.333
a85d3839-d50f-4340-a4de-fb498943c67f,54.92,0.776,13.208,0.392,9,6,1.5
40eab15c-21b5-4419-ae23-11ae25d461ab,61.227,0.773,13.49,0.401,6,6,1.0
17112b2a-f64d-43da-9009-35e0686e3aea,51.754,0.745,16.267,0.39,5,6,0.833
b35db44a-858b-4f05-83ae-3863a2f86ed3,52.346,0.744,15.283,0.388,7,6,1.167
fe5b1a2f-7f73-49dc-bba4-14cf575eb70c,50.432,0.631,18.886,0.382,8,6,1.333
f1fbc28d-9564-4745-b1dc-407fc9a50382,57.936,0.787,15.894,0.413,6,6,1.0
4fa718ef-4c92-4736-ac1c-d4d0c0254fa8,54.007,0.738,13.739,0.387,4,6,0.667
f5031c48-bb19-49ef-a69c-ab94a777644b,56.04,0.785,13.319,0.399,50,6,8.333
d2b3a1f2-965a-4d16-b48f-790d8624dbd8,38.867,0.484,18.037,0.375,8,6,1.333
db076023-149c-4808-b98d-3b46bb3e9d83,52.987,0.742,14.665,0.389,5,6,0.833
4a781cf6-6688-4eea-8563-97b144913948,56.254,0.793,15.217,0.41,6,6,1.0
7bef06db-5111-4754-8108-f013f084f3cf,64.022,0.802,19.261,0.401,4,6,0.667
6b922ea9-1da9-43ba-ac2e-3ce1f538d251,53.752,0.754,14.077,0.389,5,6,0.833
e6cc94bf-a8ee-4ee0-b7f7-6f23d10dad2a,52.655,0.737,13.617,0.376,5,6,0.833
9ee31121-b6d4-45e9-9e71-919e9f9992a6,60.69,0.776,18.923,0.395,11,6,1.833
b01d513d-6e12-49d2-975b-8758a78687c2,23.836,0.284,13.275,0.202,8,6,1.333
14d278e8-29bf-4265-aeef-f5be620da796,63.126,0.925,19.935,0.499,15,6,2.5
d4934bcc-cd81-4a33-9329-0720e97ac078,54.456,0.752,14.024,0.393,6,6,1.0
68f41e8c-04a2-436a-ab06-a7552d5b82c8,60.792,0.767,12.434,0.397,6,6,1.0
691a8caf-598b-4fbe-9d23-0cc0ce2d0e69,51.828,0.743,16.093,0.389,9,6,1.5
05c2db50-97ee-4a16-99b2-77bfffae7495,55.078,0.745,19.262,0.388,5,6,0.833
4f6adb3f-1fee-4d06-b47c-39ae7a59fa9f,148.918,1.7,177.548,2.005,4,6,0.667
2c5de102-8141-49f6-95ed-4775a491e330,54.174,0.742,13.608,0.388,7,6,1.167
3ef442ea-d83f-4255-ab66-d40336b1a73c,67.102,0.799,47.146,0.602,5,5,1.0
606b18a7-2a36-45b7-aa9b-a4df05d12d6a,61.104,0.765,17.218,0.389,5,6,0.833
99a0ebfe-1af8-4b5c-b8a1-5e9a32acde3e,53.382,0.754,15.247,0.395,5,6,0.833
18b04987-3a5d-412e-8f44-ee23c3a6e836,42.505,0.509,26.002,0.408,26,6,4.333
b3440804-ad6c-41ff-9e35-c8f8c45d4f69,56.292,0.786,12.593,0.397,6,6,1.0
f8b19801-8767-471d-9354-26fe01898947,58.711,0.806,10.533,0.403,4,6,0.667
